Unnamed: 0,Ten_quan,Mo_hinh,Dia_chi,Gio_mo_cua,Phong_cach,Gia,Huong_di,Doi_tac,Mon_an_noi_bat,Link_drive
65,Nậm Nướng,Ăn Tối,07 Đ. Hoàng Diệu,16:00 - 23:00,Hiện đại,~60k - 439k,Trung Tâm,,Bò nướng tảng/Bò Fuji,Nậm Nướng
66,Tiệm Nướng Túi Mơ To,Ăn Tối,Hẻm 31 Sào Nam,10:30 - 22:00,Hiện đại,~115k - 395k,Trại Mát - Cầu Đất,,Mực Nướng Đá Lửa,Tiệm Nướng Túi Mơ To
67,Túi Nướng Lavender,Ăn Tối,17/6 Hẻm 17 Nguyễn Trãi,14:00 - 23:00,Châu Âu,~75k - 500k,Trung Tâm,,Sườn non Atiso Lavender,Túi Nướng Lavender
68,Tiệm Nướng Má Đào,Ăn Tối,Lô B6 KQH Phạm Hồng Thái,14:00 - 23:00,Vintage,~89k - 159k,Trung Tâm,,Thịt heo nướng bakkwa,Tiệm Nướng Má Đào
69,Tiệm Nướng Mậu Dịch,Ăn Tối,26b Trần Hưng Đạo,16:00 - 22:30,Vintage,~60k - 289k,Trung Tâm,,Vú heo (nầm) nướng chao,Tiệm Nướng Mậu Dịch
70,Tiệm Nướng Chiếc Rương,Ăn Tối,56 Lê Văn Tám,16:00 - 22:30,Vintage,~60k - 580k,Trung Tâm,,Bò nướng Chiếc Rương,Tiệm Nướng Chiếc Rương
71,Khoai Lang Nướng,Ăn Tối,70 Pasteur,16:30 - 23:00,Hiện đại,~450k,Trung Tâm,,Khoai lang nướng Caramel,Khoai Lang Nướng
72,Pizza Into the Wild,Ăn Tối,18 Yết Kiêu,11:00 - 22:00,Châu Âu,~125k - 320k,Trung Tâm,,Pizza 4 Phô Mai mix Hồng Giòn,Pizza Into the Wild
73,Lẩu Mà La,Ăn Tối,22 Nguyễn Văn Cừ,10:00 - 22:00,Hiện đại,~399k,Trung Tâm,,10 vị nước lẩu đa dạng,Lẩu Mà La
74,Nem Nướng Tân Long,Ăn Trưa,290 Đ. Bùi Thị Xuân,10:30 - 21:30,Vintage,~40k,Trung Tâm,,Chả Ram Bắp,Nem Nướng Tân Long
75,Lẩu Cá Tầm Tuyên 2,Ăn Tối,Lô 75 KQH Nguyễn Công Trứ,10:00 - 22:00,Hiện đại,~49k - 119k,Trung Tâm,,Cá Tầm Rang Muối,Lẩu Cá Tầm Tuyên 2
76,Tiệm Lẩu Thông Giông,Ăn Trưa,6B Đ. Đống Đa,11h00 - 15h00 và 16h00 - 21h00,Vintage,~489k,Trung Tâm,,Gà Nướng Muối Ớt/Tiêu Xanh,Tiệm Lẩu Thông Giông
77,Bò Tơ Ông Minh,Ăn Tối,49 Lê Hồng Phong,10:00 - 00:00,Hiện đại,~79k - 379k,Trung Tâm,,Sườn Bò Tảng Nướng Lửa Than,Bò Tơ Ông Minh
78,Bánh Canh Cá Lóc Cô Hạ,Ăn Sáng,17/30 Đ. Bà Triệu,Mở Cả Ngày,Hiện đại,~35k,Trung Tâm,,Bánh Canh Cá Lóc,Bánh Canh Cá Lóc Cô Hạ
79,Bánh Mì Xíu Mại Bé Linh,Ăn Sáng,37 Đ. Hoàng Diệu,05:30 - 12:00,Hiện đại,~20k,Trung Tâm,,Bánh Mì Xíu Mại,Bánh Mì Xíu Mại Bé Linh
80,Steak Ngon,Ăn Tối,61 Đ. Mai Hắc Đế,10:00 - 22:00,Châu Âu,~459k,Trung Tâm,,Wagyu Beef Steak,Steak Ngon
81,Burrata Woodfired Pizza,Ăn Tối,Hẻm 32 Đ. 3/4,11:00 - 20:00,Vintage,~270k,Trung Tâm,,Pizza phô mai Burrata tươi,Burrata Woodfired Pizza
82,Bánh Căn Lệ,Ăn Sáng,27/44 Yersin,06:30 - 15:30,Vintage,~30k,Trung Tâm,,Bánh Căn Đa Dạng Nhân,Bánh Căn Lệ
83,Bún Bò Cô Bê,Ăn Sáng,Hẻm 163 Ba Tháng Hai,06:30 - 15:00,Hiện đại,~45k,Trung Tâm,,Bún Bò Đặc Biệt,Bún Bò Cô Bê
84,Quán Cơm Linh,Ăn Trưa,23 Đ. Sương Nguyệt Ánh,10:30 – 15:00 và 17:00 – 19:30,Hiện đại,~55k,Trung Tâm,,Cơm Niêu,Quán Cơm Linh
85,Quán Nhậu 168,Ăn Tối,A22 Đ. Mạc Đĩnh Chi,10:00 - 23:00,Hiện đại,~119k - 199k,Trung Tâm,,BBQ Đồ Nướng,Quán Nhậu 168
86,Nêm Nếm,Ăn Tối,50/2 Lê Văn Tám,15:00 - 22:00,Vintage,~85k - 295k,Trung Tâm,,Mì Xào,Nêm Nếm
87,Mì Vịt Tiềm Thảo Mộc,Ăn Trưa,26 Đ. Đào Duy Từ,12:00 - 20:00,Vintage,~80k ,Trung Tâm,,Mì Vịt Tiềm,Mì Vịt Tiềm Thảo Mộc
88,Phở Thưng,Ăn Sáng,11/1 La Sơn Phu Tử,05h30 - 13h00 và 16h00 - 22h30,Hiện đại,~50k,Trung Tâm,,Phở Tái Nạm,Phở Thưng
89,Tiệm Mì An Gia,Ăn Sáng,46A Đ. Trần Nhật Duật,06:00 - 22:00,Hiện đại,~38k - 55k,Trung Tâm,,Mì Sủi Cảo,Tiệm Mì An Gia
90,Tiệm Mì Khu Hưng,Ăn Sáng,129 Phan Đình Phùng,8:00 - 20:00,Hiện đại,~40k,Trung Tâm,,Mì Hoàn Thánh Xá Xíu,Tiệm Mì Khu Hưng
91,Hủ Tiếu Út Du,Ăn Sáng,Bên hông chợ Xuân An,06:30 - 8:00,Hiện đại,~50k,Trung Tâm,,Hủ Tiếu trộn khô,Hủ Tiếu Út Du
92,Lẩu Bò Đại Phát,Ăn Tối,Đ. Tô Ngọc Vân,09:00 - 22:00,Hiện đại,~150k - 400k,Trung Tâm,,Lẩu Bò,Lẩu bò Đại Phát
93,Mì Quảng Dì Út,Ăn Sáng,26/4 Lê Văn Tám,06:00 - 10:00,Hiện đại,~40k,Trung Tâm,,Mì Quảng,Mì Quảng Dì Út
94,Kiyo Đà Lạt,Ăn Tối,18 Yết Kiêu,16:00–00:00,Nhật Bản,~58k,Trung Tâm,,Mì Ramen Nhật Bản,Kiyo Đà Lạt
95,Quán Thái Cuk,Ăn Tối,7B Hẻm Hoàng Hoa Thám,15:00 - 22:00,Hiện đại,~59k - 149k,Trung Tâm,,"Ăn Vặt Thái, Gỏi Chua Cay",Quán Thái Cuk
96,Bếp Khói,Ăn Tối,42 Phan Chu Trinh,10:30 – 14:00 và 16:30 – 22:00,Hàn Quốc,~59k - 680k,Trung Tâm,,Sườn Que Cay Khổng Lồ,Bếp Khói
97,Tiệm Gà Suối Bình Yên,Ăn Trưa,Đường Hoa Cẩm Tú Cầu,07:00 - 18:00,Tây nguyên,~669k,Đèo Prenn,,Cơm Lam Gà Nướng,Tiệm Gà Suối Bình Yên
98,Cơm Gà Ku Bốc,Ăn Trưa,36 Mạc Đĩnh Chi,10:00 - 20:00,Hiện đại,~50k,Trung Tâm,,Cơm Gà Sốt Trứng,Cơm Gà Ku Bốc
99,Bánh mì xíu mại 47,Ăn Sáng,47 Hoàng Diệu,05:00 - 17:00,Hiện đại,~40k,Trung Tâm,,Bánh Mì Xíu Mại,Bánh mì xíu mại 47
100,Xoài non Hoài,Ăn Vặt,125 Nguyễn Công Trứ,07:00 - 21:00,Hiện đại,~20K,Trung Tâm,,"Xoài non, Bánh tráng trộn",Xoài non Hoài
